Construct;PercentHead;Time
GFP;97,6701;2
GFP;97,6758;2
GFP;97,6826;2
GFP;97,6844;2
GFP;97,6967;2
GFP;97,7077;2
GFP;97,7103;2
GFP;97,7106;2
GFP;97,7209;2
GFP;97,7209;2
GFP;97,7442;2
GFP;97,749;2
GFP;97,7644;2
GFP;97,7658;2
GFP;97,8007;2
GFP;97,8153;2
GFP;97,8174;2
GFP;97,8212;2
GFP;97,8327;2
GFP;97,8334;2
GFP;97,834;2
GFP;97,8457;2
GFP;97,8513;2
GFP;97,8535;2
GFP;97,8692;2
GFP;97,8812;2
GFP;97,8817;2
GFP;97,8827;2
GFP;97,8879;2
GFP;97,906;2
GFP;97,9198;2
GFP;97,9533;2
GFP;97,958;2
GFP;97,9649;2
GFP;97,9653;2
GFP;97,9704;2
GFP;97,9733;2
GFP;97,9757;2
GFP;97,9843;2
GFP;97,985;2
GFP;97,9916;2
GFP;98,004;2
GFP;98,0132;2
GFP;98,0262;2
GFP;98,043;2
GFP;98,0515;2
GFP;98,0541;2
GFP;98,0551;2
GFP;98,0593;2
GFP;98,0736;2
GFP;98,0884;2
GFP;98,0885;2
GFP;98,0921;2
GFP;98,1142;2
GFP;98,1147;2
GFP;98,1172;2
GFP;98,1402;2
GFP;98,1441;2
GFP;98,1783;2
GFP;98,1816;2
GFP;98,1928;2
GFP;98,2006;2
GFP;98,2057;2
GFP;98,2113;2
GFP;98,2256;2
GFP;98,2294;2
GFP;98,2425;2
GFP;98,2463;2
GFP;98,2467;2
GFP;98,2513;2
GFP;98,2693;2
GFP;98,2793;2
GFP;98,2905;2
GFP;98,2985;2
GFP;98,2991;2
GFP;98,3095;2
GFP;98,3332;2
GFP;98,3345;2
GFP;98,3386;2
GFP;98,3491;2
GFP;98,3553;2
GFP;98,3562;2
GFP;98,3701;2
GFP;98,3858;2
GFP;98,4401;2
GFP;98,4467;2
GFP;98,4718;2
GFP;98,4802;2
GFP;98,4913;2
GFP;98,4972;2
GFP;98,5012;2
GFP;98,5219;2
GFP;98,5507;2
