Construct;Time;Autofluorescence;Experiment
CP105;4;0,738772256;1
CP105;4;0,857609711;1
CP105;4;0,837023593;1
CP105;4;0,858254814;1
CP105;4;0,87353046;1
CP105;4;0,763575042;1
CP105;4;0,81962775;1
CP106;4;1,004375631;1
CP106;4;1,046266234;1
CP106;4;0,983874436;1
CP106;4;0,929397686;1
CP106;4;1,163617171;1
CP106;4;0,98479583;1
CP106;4;1,197842552;1
CP106;4;0,892786365;1
CP106;4;1,027661358;1
CP106;4;0,845201238;1
CP106;4;0,884404584;1
CP106;4;1,028944247;1
CP106;4;1,475271092;1
CP106;4;1,728830645;1
CP106;4;1,196135266;1
CP106;4;1,981234867;1
CP106;4;1,073266619;1
CP106;4;1,215204678;1
CP106;4;1,212430122;1
CP106;4;0,890023337;1
CP106;4;1,025752167;1
CP106;4;0,933958578;1
CP106;4;1,07008547;1
CP106;4;0,989350739;1
CP106;4;1,421101485;1
CP106;4;1,170283303;1
CP106;4;1,111818375;1
CP106;4;1,987958716;1
CP106;4;1,703823954;1
CP106;4;1,557748733;1
CP106;4;1,176186849;1
CP106;4;0,954049136;1
CP106;4;0,879758308;1
CP106;4;1,012399708;1
CP106;4;0,818291631;1
CP106;4;0,849670593;1
CP106;4;0,985698808;1
CP106;4;1,004824837;1
CP106;4;0,898505925;1
CP106;4;1,32262114;1
CP106;4;0,943528096;1
CP106;4;0,984705582;1
CP106;4;1,093485169;1
CP106;4;0,912670369;1
CP106;4;1,024203822;1
CP106;4;1,128679245;1
CP106;4;1,075185316;1
CP105;4;1,190348525;2
CP105;4;1,041517755;2
CP105;4;0,999497992;2
CP105;4;0,966870724;2
CP105;4;1,082814744;2
CP105;4;0,913604002;2
CP105;4;0,93245511;2
CP105;4;0,957361676;2
CP105;4;0,943017602;2
CP105;4;0,974324596;2
CP105;4;0,928868036;2
CP105;4;0,85101237;2
CP105;4;0,95776025;2
CP105;4;0,880890253;2
CP105;4;0,980227143;2
CP105;4;1,116066482;2
CP105;4;0,974112841;2
CP105;4;0,91559317;2
CP105;4;0,960854427;2
CP105;4;0,955651815;2
CP105;4;0,888015585;2
CP105;4;0,915295231;2
CP105;4;0,924116424;2
CP105;4;0,91500174;2
CP105;4;0,964004653;2
CP105;4;0,933628719;2
CP105;4;0,900384481;2
CP105;4;0,971282706;2
CP105;4;0,978075955;2
CP105;4;0,980282976;2
CP105;4;0,964792343;2
CP105;4;0,995286241;2
CP105;4;0,907368874;2
CP105;4;0,931344503;2
CP105;4;0,931024892;2
CP105;4;0,839708685;2
CP105;4;0,906345766;2
CP105;4;0,811831832;2
CP105;4;0,888116578;2
CP105;4;0,855031233;2
CP105;4;0,8427104;2
CP105;4;1,045151266;2
CP105;4;0,968450294;2
CP105;4;1,015375313;2
CP105;4;1,034487963;2
CP105;4;0,980293471;2
CP105;4;0,922479282;2
CP106;4;0,851159908;2
CP106;4;0,916122182;2
CP106;4;0,783513915;2
CP106;4;0,849828347;2
CP106;4;0,868675384;2
CP106;4;0,920126069;2
CP106;4;0,79219435;2
CP106;4;0,820207044;2
